                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.44878,                0.31632,                0.86264,                  0.545,                0.74354,                0.69766,                0.52388,                 1.0114,                 1.3071,                 1.2528,              0.0001431,              0.0001431,              0.0001431
                    134,                0.43843,                  0.286,                0.84925,                0.55639,                0.80918,                0.68797,                0.51894,                 1.0077,                 1.2528,                 1.2446,             0.00013576,             0.00013576,             0.00013576
                    135,                0.43467,                0.28803,                0.85487,                0.56573,                0.78785,                0.72179,                0.54857,                 1.0071,                 1.1309,                  1.252,             0.00012843,             0.00012843,             0.00012843
                    136,                0.45411,                 0.2915,                0.85469,                0.56031,                0.76906,                0.71782,                0.54676,                0.99836,                 1.1296,                 1.2407,              0.0001211,              0.0001211,              0.0001211
                    137,                0.44328,                0.31049,                 0.8534,                 0.6211,                0.72361,                0.69621,                0.52765,                0.99732,                 1.1291,                 1.2329,             0.00011377,             0.00011377,             0.00011377
                    138,                0.44244,                0.28689,                0.85156,                0.62428,                0.72426,                 0.6997,                0.52363,                 1.0098,                 1.1291,                 1.2501,             0.00010643,             0.00010643,             0.00010643
                    139,                0.42329,                0.29697,                0.84888,                  0.597,                0.76797,                0.72253,                 0.5381,                 1.0144,                 1.1547,                 1.2598,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    140,                0.43708,                0.28637,                 0.8498,                0.59678,                0.74055,                0.72586,                0.53714,                 1.0055,                 1.1437,                 1.2518,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    141,                0.38269,                0.24769,                0.83338,                0.61446,                0.71037,                 0.7268,                0.53604,                 1.0265,                 1.1451,                 1.2695,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    142,                0.37092,                0.23368,                0.84772,                0.54624,                0.77747,                0.73743,                 0.5498,                 1.0387,                 1.1496,                  1.286,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    143,                0.35445,                0.22822,                0.82268,                0.55449,                0.77679,                0.72319,                0.53625,                 1.0479,                 1.1691,                  1.293,             6.9771e-05,             6.9771e-05,             6.9771e-05
